Identificador,Fecha,Estado,Tipo,Cuenta,Beneficiario,Categoría,Importe,Divisa,Número,Notas
25028,06/08/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25030,06/09/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25032,06/10/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25034,06/11/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25036,06/12/2003,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25037,31/12/2003,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25039,06/01/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25040,09/01/2004,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,"Aceite, Filtro aire, Revision general 53.346 km./nBerlingo:Repa"
25042,06/02/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25044,06/03/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25046,06/04/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25048,06/05/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25049,07/05/2004,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Aceite Frenos 55.585 km./nBerlingo:Reparaciones
25051,06/06/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25052,28/06/2004,R,Withdrawal,Bancos Anteriores,I.E.S. Cesar Manrique,Estudios:Matriculas,0.00,EUR,,
25054,06/07/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25055,23/07/2004,R,Withdrawal,Bancos Anteriores,Ayto. Santa Cruz,Coche:Rodaje,0.00,EUR,,Berlingo:Rodaje
25057,06/08/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25058,12/08/2004,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Aceite Motor elevalunas drch. 57.348 km./nBerlingo:Reparaciones
25060,06/09/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25062,06/10/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25064,06/11/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25066,06/12/2004,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25067,31/12/2004,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25069,06/01/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25071,06/02/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25072,22/02/2005,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,"Aceite, Bujias, Frenos 40.935 km./nBerlingo:Reparaciones"
25074,06/03/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25076,06/04/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25077,04/05/2005,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Aceite 64.065 km./nBerlingo:Reparaciones
25079,06/05/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25081,06/06/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25082,15/06/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Matricula + Libro
25084,06/07/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25085,26/07/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Tasas Trafico y Gestion
25086,05/08/2005,R,Withdrawal,Bancos Anteriores,ITV,Coche:ITV,0.00,EUR,,Itv Periodica/nBerlingo:ITV
25088,06/08/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25089,16/08/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Practica
25090,30/08/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,5 Practicas
25092,06/09/2005,R,Withdrawal,Bancos Anteriores,I.E.S. Cesar Manrique,Estudios:Matriculas,0.00,EUR,,
25093,06/09/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25095,06/10/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,5 Practicas
25096,06/10/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25097,19/10/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,5 Practicas
25098,24/10/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Examen
25099,28/10/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Renovacion Exp. Practico
25100,28/10/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Practica
25101,03/11/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,5 Practicas
25103,06/11/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25104,07/11/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Examen
25105,14/11/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,2 Practicas
25106,15/11/2005,R,Withdrawal,Bancos Anteriores,Autoescuela La Candelaria,Estudios:Autoescuela,0.00,EUR,,Practica
25108,06/12/2005,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25109,31/12/2005,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25110,31/12/2005,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25111,31/12/2005,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25113,06/01/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25115,06/02/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25117,06/03/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25118,14/03/2006,R,Withdrawal,Bancos Anteriores,Mapfre,Seguros:Coche,0.00,EUR,,Berlingo:Seguro
25120,06/04/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25122,06/05/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25124,06/06/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25125,17/06/2006,R,Withdrawal,Bancos Anteriores,Mesa Y Honorio,Coche:Reparaciones,0.00,EUR,,Ruedas/nBerlingo:Reparaciones
25126,26/06/2006,R,Withdrawal,Bancos Anteriores,I.E.S. Cesar Manrique,Estudios,0.00,EUR,,
25127,01/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25128,01/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25130,06/07/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25131,08/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25132,08/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25133,22/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25134,22/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25135,29/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25136,29/07/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25138,06/08/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25139,19/08/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25140,19/08/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25141,05/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25142,05/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25144,06/09/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25145,10/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25146,10/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25147,15/09/2006,R,Withdrawal,Bancos Anteriores,Mapfre,Seguros:Coche,0.00,EUR,,Berlingo:Seguro
25148,18/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25149,18/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25150,19/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25151,19/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25152,24/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25153,24/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25154,30/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25155,30/09/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25157,06/10/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25158,07/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25159,07/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25160,12/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25161,12/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25162,31/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25163,31/10/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25164,04/11/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25165,04/11/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25167,06/11/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25168,22/11/2006,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Aceite 82.899 km./nBerlingo:Reparaciones
25169,02/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25170,02/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25172,06/12/2006,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25173,08/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25174,08/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25175,15/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25176,15/12/2006,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25177,31/12/2006,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25178,03/01/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25179,03/01/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25181,06/01/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25182,23/01/2007,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Cable embrage Montaje radio 86.510 km./nBerlingo:Reparaciones
25184,06/02/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25185,04/03/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25186,04/03/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25188,06/03/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25189,07/03/2007,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Lectura centralita 89.753 km./nBerlingo:Reparaciones
25190,07/03/2007,R,Withdrawal,Bancos Anteriores,Auto Laca,Coche:Reparaciones,0.00,EUR,,Mando volante 89.753/nBerlingo:Reparaciones
25192,06/04/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25194,06/05/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25195,08/05/2007,R,Withdrawal,Bancos Anteriores,Cesilio,Coche:Reparaciones,0.00,EUR,,"Aceite, Correa, pastillas, bujias 94.395 km./nBerlingo:Reparaci"
25196,12/05/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25197,12/05/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25198,26/05/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25199,26/05/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25201,06/06/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25202,30/06/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25203,01/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25204,01/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25206,06/07/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25207,14/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25208,14/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25209,21/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25210,21/07/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25212,06/08/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25214,06/09/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25215,16/09/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25216,16/09/2007,R,Deposit,Bancos Anteriores,Producciones NET,Sueldo,0.00,EUR,,
25218,06/10/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25219,10/10/2007,R,Withdrawal,Bancos Anteriores,Desconocido,Coche:Reparaciones,0.00,EUR,,Aceite 106.462 km./nBerlingo:Reparaciones
25220,24/10/2007,R,Withdrawal,Bancos Anteriores,Universidad De La Laguna,Estudios:Matriculas,0.00,EUR,,
25221,29/10/2007,R,Withdrawal,Bancos Anteriores,Tinerdanza,Hobbies:Baile,0.00,EUR,,Cuota Noviembre
25222,30/10/2007,R,Withdrawal,Bancos Anteriores,Carrefour,Comida:Supermercado y Otros,0.00,EUR,,
25223,30/10/2007,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25225,06/11/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25226,07/11/2007,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25227,07/11/2007,R,Withdrawal,Bancos Anteriores,Alcampo,Comida:Supermercado y Otros,0.00,EUR,,
25228,09/11/2007,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25229,05/12/2007,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25231,06/12/2007,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25232,10/12/2007,R,Withdrawal,Bancos Anteriores,Tinerdanza,Hobbies:Baile,0.00,EUR,,Cuota Diciembre
25233,12/12/2007,R,Withdrawal,Bancos Anteriores,Universidad De La Laguna,Estudios:Matriculas,0.00,EUR,,
25234,21/12/2007,R,Deposit,Bancos Anteriores,Desconocido,Cobros:Intereses ,0.00,EUR,,
25235,21/12/2007,R,Deposit,Bancos Anteriores,Desconocido,Cobros:Intereses ,0.00,EUR,,
25236,31/12/2007,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,Pagado Padres
25237,01/01/2008,R,Deposit,Bancos Anteriores,Desconocido,Familia,0.00,EUR,,
25239,06/01/2008,R,Deposit,Bancos Anteriores,Padres,Familia,0.00,EUR,,Pago Supuesta cuota de Ptmo por F/Datos
25240,09/01/2008,R,Withdrawal,Bancos Anteriores,Tinerdanza,Hobbies:Baile,0.00,EUR,,Cuota Enero
25241,16/01/2008,R,Withdrawal,Bancos Anteriores,Libreria Lemus,Estudios:Material Escolar,0.00,EUR,,
25242,16/01/2008,R,Deposit,Bancos Anteriores,Comunidad Autonoma De Canarias,Cobros,0.00,EUR,,
25243,23/01/2008,R,Withdrawal,Bancos Anteriores,Vodafone,Pago Servicios:Telefonia,0.00,EUR,,
25244,28/01/2008,R,Withdrawal,Bancos Anteriores,Tinerdanza,Hobbies:Baile,0.00,EUR,,Cuota Febero
25245,01/02/2008,R,Withdrawal,Bancos Anteriores,Vodafone,Pago Servicios:Telefonia,0.00,EUR,,
